color = { 43  141  172 }
graphical_culture = SouthAmericanGC
	social_policy = welfare_state
	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = pro_atheism
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "FRA_gen_fascist"
	start_date = 1900.1.1
	end_date = 2000.1.1

	ideology = fascist

	social_policy = no_position_set
	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}


unit_names = {
	dreadnought = {
	"Кара де Диос"
	"Эквадор"
	"Флорес"
	"Гарсия Морено"
	"Иллингворт"
	"Инка"
	"Либертадор"
	"Рокафуэрте"
	"Стагг"
	"Вейнтимилья"
}


	ironclad = {
	"Корморан"
	"Эль Оро"
	"Гуайас"
	"Имбабура"
	"Леон Марино"
	"Лос-Риос"
	"Манаби"
	"Марсисмо"
	"Пингуино"
	"Тортуга"
}


	manowar = {
	"Алькансе"
	"Чимборасо"
	"Колумбия"
	"Дилихенсия"
	"Гарсия дель Гуаяс"
	"Гуаякиленья"
	"Пичинча"
	"Сан-Франциско"
	"Сан-Хуан"
	"Санта-Марина"
}


	cruiser = {
	"Амазония"
	"Боливар"
	"Галапагос"
	"Либертад"
	"Лус де Америка"
	"Местисо"
	"Орельяна"
	"Ориэнте"
	"Патрия"
	"Санта-Элена"
}


	frigate = {
	"Конститусьон"
	"Куэнка"
	"Куэро"
	"Эсмеральдас"
	"Эспехо"
	"Гуаякиль"
	"Монтуфар"
	"Кито"
	"Република"
	"Замора"
}


	monitor = {
	"Кока"
	"Котопакси"
	"Уанкавилька"
	"Ильиниса"
	"Мантеньо"
	"Напо"
	"Пастаса"
	"Путумайо"
	"Сири"
	"Тунгураха"
}


	clipper_transport = {
	"Аудас"
	"Куэнкана"
	"Дарвин"
	"Индеструктибле"
	"Ингапирка"
	"Интрепидо"
	"Лаго Агрио"
	"Марина"
	"Орельяна"
	"Портовьехо"
	"Пуйэнья"
	"Китенья"
	"Сан-Грегорио"
	"Сан-Хосе"
	"Сан-Мигель"
	"Санта-Мария"
	"Сантьяго"
	"Санто-Доминго"
	"Тена"
	"Велос"
}


	steam_transport = {
	"Аудас"
	"Куэнкана"
	"Дарвин"
	"Индеструктибле"
	"Ингапирка"
	"Интрепидо"
	"Лаго Агрио"
	"Марина"
	"Орельяна"
	"Портовьехо"
	"Пуйэнья"
	"Китенья"
	"Сан-Грегорио"
	"Сан-Хосе"
	"Сан-Мигель"
	"Санта-Мария"
	"Сантьяго"
	"Санто-Доминго"
	"Тена"
	"Велос"
}


	commerce_raider = {
	"Атакасо"
	"Бабахойо"
	"Каямбе"
	"Корасон"
	"Филокорралес"
	"Ибарра"
	"Мачала"
	"Пуйо"
	"Ревентадор"
	"Тулькан"
}


}
